id	user_id	issuance_date	return_date	actual_return_date	body	percent
48	398	20.04.2020	04.05.2020	07.10.2021	2000	16470
49	322	21.04.2020	05.05.2020		4000	50760
50	36	22.04.2020	06.05.2020	22.06.2020	1500	1687.5
51	224	22.04.2020	06.05.2020	19.11.2020	5000	16875
52	261	25.04.2020	09.05.2020	07.10.2020	5000	13425
53	361	27.04.2020	11.05.2020	21.06.2021	3000	19530
54	426	27.04.2020	11.05.2020	25.11.2020	2000	6780
55	89	01.05.2020	15.05.2020	18.07.2020	5000	6900
56	341	03.05.2020	17.05.2020	12.09.2020	4500	9855
57	372	03.05.2020	17.05.2020	10.08.2020	2500	4237.5
58	102	05.05.2020	19.05.2020		5000	62400
59	187	08.05.2020	22.05.2020		4000	49740
60	190	09.05.2020	23.05.2020	16.08.2021	1500	10755
61	363	10.05.2020	24.05.2020	26.09.2020	4500	10327.5
62	458	10.05.2020	24.05.2020	22.05.2020	1000	420
63	288	11.05.2020	25.05.2020		500	6195
64	74	12.05.2020	26.05.2020	28.08.2021	500	3652.5
65	330	13.05.2020	27.05.2020	05.07.2020	4000	4020
66	173	15.05.2020	29.05.2020	16.06.2020	2000	1380
67	500	15.05.2020	29.05.2020	30.07.2021	2500	17062.5
68	129	16.05.2020	30.05.2020	19.11.2020	500	1507.5
69	465	16.05.2020	30.05.2020	17.09.2020	500	1035
70	466	16.05.2020	30.05.2020	23.10.2021	3500	28297.5
71	434	18.05.2020	01.06.2020	18.05.2021	2500	14212.5
72	458	18.05.2020	01.06.2020	23.07.2020	2500	3000
73	35	19.05.2020	02.06.2020	21.05.2021	2500	14287.5
74	285	20.05.2020	03.06.2020	07.08.2021	1500	10305
75	537	20.05.2020	03.06.2020	30.11.2020	3500	10920
76	27	22.05.2020	05.06.2020	11.06.2021	3500	20947.5
77	400	22.05.2020	05.06.2020	13.08.2020	1000	1455
78	230	23.05.2020	06.06.2020	28.05.2021	2000	11520
79	363	23.05.2020	06.06.2020	30.05.2021	2500	14475
80	472	23.05.2020	06.06.2020	23.10.2020	2500	6262.5
81	100	27.05.2020	10.06.2020	16.09.2021	3000	22095
82	2	29.05.2020	12.06.2020		4500	54540
83	461	30.05.2020	13.06.2020	19.09.2020	1000	1890
84	572	30.05.2020	13.06.2020	20.11.2020	2000	5640
85	367	01.06.2020	15.06.2020	04.06.2020	4500	1890
86	359	02.06.2020	16.06.2020	16.09.2020	1500	2700
87	287	03.06.2020	17.06.2020	07.09.2021	5000	35625
88	409	03.06.2020	17.06.2020	21.11.2020	2000	5550
89	163	04.06.2020	18.06.2020	28.11.2020	1000	2865
90	94	06.06.2020	20.06.2020	16.07.2020	4000	3240
91	186	08.06.2020	22.06.2020	06.07.2021	1000	6105
92	406	08.06.2020	22.06.2020	22.06.2021	2500	14737.5
93	267	09.06.2020	23.06.2020	19.08.2021	500	3375
94	564	11.06.2020	25.06.2020		2000	23850
95	406	12.06.2020	26.06.2020	26.06.2021	2000	11790
96	203	15.06.2020	29.06.2020		3000	35595
97	349	16.06.2020	30.06.2020	29.09.2020	4500	8032.5
98	548	16.06.2020	30.06.2020	15.11.2020	2500	6225
99	488	18.06.2020	02.07.2020		4500	53190
100	540	18.06.2020	02.07.2020	14.09.2020	3500	5355
101	640	18.06.2020	02.07.2020	05.11.2020	1000	2310
102	459	21.06.2020	05.07.2020	14.08.2021	4500	29227.5
103	557	21.06.2020	05.07.2020	08.09.2020	1000	1395
104	1	23.06.2020	07.07.2020	27.06.2020	3500	1470
105	301	23.06.2020	07.07.2020	11.09.2021	2000	13770
106	563	23.06.2020	07.07.2020		5000	58725
107	598	23.06.2020	07.07.2020	29.09.2021	500	3577.5
108	142	25.06.2020	09.07.2020	17.11.2020	2000	4770
109	272	26.06.2020	10.07.2020	03.07.2020	5000	2100
110	445	26.06.2020	10.07.2020	29.06.2021	2000	11460
111	24	29.06.2020	13.07.2020	24.11.2020	4000	9720
112	495	29.06.2020	13.07.2020	02.07.2020	3500	1470
113	650	29.06.2020	13.07.2020	19.07.2021	2000	11970
114	326	30.06.2020	14.07.2020	16.08.2020	2500	2287.5
115	379	01.07.2020	15.07.2020		1000	11625
116	603	01.07.2020	15.07.2020	01.09.2021	4000	26460
117	317	02.07.2020	16.07.2020	12.07.2020	1500	630
118	618	02.07.2020	16.07.2020	11.11.2020	4500	9855
119	531	04.07.2020	18.07.2020	23.07.2020	4500	2227.5
120	626	04.07.2020	18.07.2020	14.07.2020	500	210
121	174	05.07.2020	19.07.2020	12.07.2021	1500	8685
122	326	05.07.2020	19.07.2020	16.08.2020	2000	1680
123	527	06.07.2020	20.07.2020	29.08.2021	3000	19485
124	514	07.07.2020	21.07.2020	21.07.2020	500	210
125	323	08.07.2020	22.07.2020	08.09.2020	1000	1140
126	493	08.07.2020	22.07.2020	29.09.2020	3000	4365
127	679	08.07.2020	22.07.2020	17.11.2020	2000	4380
128	148	09.07.2020	23.07.2020	19.11.2020	1500	3307.5
129	632	09.07.2020	23.07.2020	04.10.2021	4500	31455
130	674	09.07.2020	23.07.2020	13.11.2021	2000	15180
131	146	10.07.2020	24.07.2020	11.07.2020	2500	1050
132	607	10.07.2020	24.07.2020		5000	57450
133	72	12.07.2020	26.07.2020	17.11.2020	2000	4260
134	171	12.07.2020	26.07.2020	19.07.2021	4000	23160
135	594	12.07.2020	26.07.2020	22.07.2021	2500	14587.5
136	527	13.07.2020	27.07.2020	13.10.2021	1000	7065
137	433	14.07.2020	28.07.2020	17.08.2021	3000	18585
138	664	14.07.2020	28.07.2020	15.07.2021	2000	11400
139	660	15.07.2020	29.07.2020	07.10.2020	1500	2205
140	11	16.07.2020	30.07.2020	16.11.2021	4500	33885
141	394	17.07.2020	31.07.2020	18.10.2020	1000	1605
142	627	17.07.2020	31.07.2020		4500	51232.5
143	678	18.07.2020	01.08.2020	05.11.2021	5000	36675
144	684	18.07.2020	01.08.2020	13.09.2020	1500	1597.5
145	703	18.07.2020	01.08.2020	01.10.2021	500	3405
146	679	19.07.2020	02.08.2020		4500	51097.5
147	135	20.07.2020	03.08.2020	15.11.2020	3000	5940
148	346	20.07.2020	03.08.2020	04.08.2021	2000	11820
149	399	21.07.2020	04.08.2020	11.09.2020	2000	1980
150	339	22.07.2020	05.08.2020	01.10.2021	4000	27000
151	579	22.07.2020	05.08.2020	16.09.2021	4500	29362.5
152	65	23.07.2020	06.08.2020	01.08.2020	5000	2100
153	171	23.07.2020	06.08.2020	04.11.2021	1500	10867.5
154	723	23.07.2020	06.08.2020	13.08.2021	2500	15000
155	740	23.07.2020	06.08.2020	20.10.2020	3500	5407.5
156	24	24.07.2020	07.08.2020	31.10.2021	4000	28680
157	458	24.07.2020	07.08.2020		5000	56400
158	316	26.07.2020	09.08.2020	26.07.2021	5000	28425
159	452	26.07.2020	09.08.2020		2000	22500
160	526	26.07.2020	09.08.2020	07.11.2020	5000	8850
161	766	27.07.2020	10.08.2020	05.08.2020	2000	840
162	50	30.07.2020	13.08.2020	11.09.2020	1500	1282.5
163	32	01.08.2020	15.08.2020	13.10.2021	3000	20340
164	487	01.08.2020	15.08.2020	24.08.2020	5000	2775
165	613	01.08.2020	15.08.2020	18.09.2021	4500	28822.5
166	26	02.08.2020	16.08.2020	19.09.2021	3500	22417.5
167	639	03.08.2020	17.08.2020	28.10.2021	4000	27900
168	738	03.08.2020	17.08.2020	12.08.2021	5000	29100
169	420	04.08.2020	18.08.2020	21.09.2020	4500	4185
170	464	06.08.2020	20.08.2020	21.11.2021	3500	25515
171	730	06.08.2020	20.08.2020	27.10.2020	2000	2880
172	14	07.08.2020	21.08.2020	05.09.2020	1500	967.5
173	156	07.08.2020	21.08.2020	18.10.2021	2000	13530
174	611	07.08.2020	21.08.2020	17.11.2021	1500	10822.5
175	718	07.08.2020	21.08.2020	22.08.2021	4000	23640
176	721	07.08.2020	21.08.2020	25.09.2020	3000	2835
177	314	09.08.2020	23.08.2020	24.08.2021	2500	14775
178	347	09.08.2020	23.08.2020	16.11.2020	3500	5932.5
179	36	11.08.2020	25.08.2020	26.10.2020	1500	2025
180	272	11.08.2020	25.08.2020	31.10.2020	4500	6412.5
181	446	12.08.2020	26.08.2020	19.09.2020	4000	3120
182	553	12.08.2020	26.08.2020	18.10.2021	500	3345
183	761	12.08.2020	26.08.2020	06.11.2021	500	3487.5
184	291	13.08.2020	27.08.2020	27.11.2020	2500	4500
185	377	13.08.2020	27.08.2020	23.10.2021	1500	10125
186	762	13.08.2020	27.08.2020	15.11.2021	2500	17737.5
187	598	14.08.2020	28.08.2020	10.09.2020	500	307.5
188	821	14.08.2020	28.08.2020	27.08.2021	2000	11760
189	139	15.08.2020	29.08.2020	09.09.2021	5000	30300
190	656	15.08.2020	29.08.2020	02.11.2020	1000	1395
191	142	16.08.2020	30.08.2020	29.09.2020	3500	3045
192	802	16.08.2020	30.08.2020	30.08.2020	4000	1680
193	806	16.08.2020	30.08.2020	09.10.2020	2000	2040
194	831	16.08.2020	30.08.2020	25.08.2020	4000	1680
195	2	17.08.2020	31.08.2020	21.11.2020	3500	5775
196	433	17.08.2020	31.08.2020	04.10.2021	1500	9607.5
197	695	18.08.2020	01.09.2020	20.08.2021	500	2857.5
198	439	19.08.2020	02.09.2020	15.11.2020	4000	6120
199	570	19.08.2020	02.09.2020	22.08.2021	1000	5730
200	510	20.08.2020	03.09.2020	20.10.2021	4500	29700
201	541	20.08.2020	03.09.2020	25.08.2020	5000	2100
202	573	20.08.2020	03.09.2020	30.09.2021	4500	28350
203	660	20.08.2020	03.09.2020	14.11.2021	1500	10462.5
204	825	20.08.2020	03.09.2020	18.10.2021	500	3285
205	146	21.08.2020	04.09.2020	22.08.2020	4500	1890
206	570	21.08.2020	04.09.2020	24.08.2021	3500	20055
207	591	21.08.2020	04.09.2020	16.10.2021	3500	22837.5
208	776	21.08.2020	04.09.2020		2000	21720
209	697	22.08.2020	05.09.2020	19.10.2021	1500	9832.5
210	582	23.08.2020	06.09.2020	13.09.2020	1500	787.5
211	654	23.08.2020	06.09.2020	03.09.2021	3000	17550
212	318	24.08.2020	07.09.2020	07.10.2020	2500	2175
213	195	25.08.2020	08.09.2020	16.11.2021	2500	17325
214	339	26.08.2020	09.09.2020	20.09.2020	500	292.5
215	473	26.08.2020	09.09.2020	03.10.2020	4000	3120
216	590	26.08.2020	09.09.2020	04.11.2021	3500	23572.5
217	742	26.08.2020	09.09.2020	26.08.2020	4500	1890
218	842	26.08.2020	09.09.2020	22.09.2021	4000	24360
219	617	27.08.2020	10.09.2020		1500	16155
220	716	27.08.2020	10.09.2020	13.10.2020	1000	915
221	674	28.08.2020	11.09.2020	30.08.2020	2500	1050
222	867	28.08.2020	11.09.2020	11.09.2021	1500	8842.5
223	874	28.08.2020	11.09.2020	15.11.2021	4000	27480
224	847	29.08.2020	12.09.2020	13.11.2021	2500	17062.5
225	39	31.08.2020	14.09.2020	10.10.2020	3500	2835
226	736	31.08.2020	14.09.2020	24.09.2020	3000	1710
227	879	31.08.2020	14.09.2020	02.10.2020	5000	3450
228	875	01.09.2020	15.09.2020		2000	21390
229	446	02.09.2020	16.09.2020	04.11.2021	1500	9945
230	585	02.09.2020	16.09.2020	04.11.2021	4500	29835
231	631	02.09.2020	16.09.2020	19.10.2020	3500	3202.5
232	881	02.09.2020	16.09.2020	10.11.2020	5000	6225
233	407	03.09.2020	17.09.2020	01.11.2020	3500	3832.5
234	845	03.09.2020	17.09.2020	13.09.2021	2500	14587.5
235	890	04.09.2020	18.09.2020	09.09.2020	3000	1260
236	677	05.09.2020	19.09.2020	06.10.2021	1500	9225
237	741	05.09.2020	19.09.2020	23.11.2020	2500	3487.5
238	574	06.09.2020	20.09.2020	05.11.2021	3000	19755
239	619	06.09.2020	20.09.2020	01.10.2021	3500	21210
240	658	06.09.2020	20.09.2020	27.10.2020	4000	3900
241	719	06.09.2020	20.09.2020	14.10.2021	500	3127.5
242	282	08.09.2020	22.09.2020	26.11.2021	4000	27480
243	554	08.09.2020	22.09.2020	25.11.2020	4500	6210
244	679	08.09.2020	22.09.2020	22.11.2020	3000	4005
245	689	08.09.2020	22.09.2020	19.11.2020	2000	2580
246	719	08.09.2020	22.09.2020	10.10.2020	1000	690
247	891	08.09.2020	22.09.2020	24.11.2021	1500	10260
248	209	09.09.2020	23.09.2020	25.09.2021	500	2962.5
249	307	09.09.2020	23.09.2020	18.09.2021	4000	23280
250	584	09.09.2020	23.09.2020	01.10.2020	3000	1620
251	741	09.09.2020	23.09.2020	21.10.2021	500	3157.5
252	696	10.09.2020	24.09.2020	19.11.2021	4000	26940
253	63	11.09.2020	25.09.2020		2000	21090
254	695	11.09.2020	25.09.2020		3500	36907.5
255	797	11.09.2020	25.09.2020	16.10.2020	4500	3307.5
256	193	12.09.2020	26.09.2020	27.11.2020	4500	6075
257	361	12.09.2020	26.09.2020	29.09.2020	3000	1395
258	464	12.09.2020	26.09.2020	03.10.2020	1500	787.5
259	711	12.09.2020	26.09.2020	01.11.2020	500	480
260	730	12.09.2020	26.09.2020	15.10.2020	4500	3172.5
261	777	12.09.2020	26.09.2020	14.11.2020	2500	2887.5
262	723	13.09.2020	27.09.2020	15.10.2020	4500	3105
263	878	13.09.2020	27.09.2020	28.09.2020	1000	435
264	927	13.09.2020	27.09.2020	23.09.2020	1500	630
265	401	14.09.2020	28.09.2020	11.10.2021	5000	30450
266	175	15.09.2020	29.09.2020	18.10.2020	1500	1057.5
267	177	15.09.2020	29.09.2020	25.11.2021	4500	30375
268	617	15.09.2020	29.09.2020	02.11.2021	5000	32025
269	113	16.09.2020	30.09.2020	17.09.2020	2500	1050
270	123	16.09.2020	30.09.2020	20.09.2020	2500	1050
271	915	16.09.2020	30.09.2020	19.11.2020	4000	4680
272	920	16.09.2020	30.09.2020		5000	52350
273	929	16.09.2020	30.09.2020	27.11.2021	4500	30442.5
274	847	17.09.2020	01.10.2020	14.11.2021	4000	26220
275	933	17.09.2020	01.10.2020	17.10.2021	4000	24540
276	875	18.09.2020	02.10.2020		3500	36540
277	229	19.09.2020	03.10.2020	31.10.2020	3500	2940
278	853	21.09.2020	05.10.2020	05.11.2020	4500	3982.5
279	857	21.09.2020	05.10.2020	19.11.2020	3500	3832.5
280	191	22.09.2020	06.10.2020	03.11.2020	3500	2940
281	443	22.09.2020	06.10.2020		4500	46710
282	693	22.09.2020	06.10.2020	14.10.2020	500	270
283	836	22.09.2020	06.10.2020	27.09.2021	1000	5760
284	875	22.09.2020	06.10.2020	17.11.2020	4500	4725
285	947	22.09.2020	06.10.2020	26.09.2021	1500	8617.5
286	638	23.09.2020	07.10.2020		5000	51825
287	973	24.09.2020	08.10.2020	21.10.2021	3500	21315
288	386	25.09.2020	09.10.2020	27.09.2021	3500	20002.5
289	870	25.09.2020	09.10.2020	02.11.2021	3500	21892.5
290	958	25.09.2020	09.10.2020	27.09.2020	3500	1470
291	975	25.09.2020	09.10.2020	03.10.2020	4000	1680
292	171	26.09.2020	10.10.2020		3500	36120
293	255	26.09.2020	10.10.2020	09.10.2020	1000	420
294	903	26.09.2020	10.10.2020	26.09.2020	5000	2100
295	973	26.09.2020	10.10.2020	15.11.2021	3500	22522.5
296	485	27.09.2020	11.10.2020	21.11.2021	2500	16275
297	932	27.09.2020	11.10.2020	02.11.2020	5000	3750
298	973	27.09.2020	11.10.2020	28.09.2020	4000	1680
299	981	28.09.2020	12.10.2020	28.09.2020	4000	1680
300	981	28.09.2020	12.10.2020	29.10.2021	4500	27675
301	977	29.09.2020	13.10.2020	03.11.2021	3500	21735
302	422	30.09.2020	14.10.2020	24.11.2021	500	3255
303	174	01.10.2020	15.10.2020	27.10.2021	2500	15187.5
304	244	01.10.2020	15.10.2020	26.10.2021	500	3030
305	255	01.10.2020	15.10.2020	12.11.2021	3000	18945
306	692	01.10.2020	15.10.2020		1000	10245
307	831	01.10.2020	15.10.2020	13.10.2021	1500	8797.5
308	865	01.10.2020	15.10.2020	28.10.2020	500	307.5
309	191	02.10.2020	16.10.2020	28.11.2020	4000	4260
310	339	02.10.2020	16.10.2020	18.10.2020	3500	1575
311	483	02.10.2020	16.10.2020	20.10.2021	2500	14887.5
312	612	02.10.2020	16.10.2020	23.11.2020	1000	990
313	683	02.10.2020	16.10.2020	16.11.2020	4000	3540
314	939	02.10.2020	16.10.2020	09.11.2020	4000	3120
315	809	03.10.2020	17.10.2020	04.10.2021	2000	11400
316	992	03.10.2020	17.10.2020	06.10.2021	3500	20055
317	296	04.10.2020	18.10.2020	08.10.2020	1000	420
318	797	04.10.2020	18.10.2020	16.11.2021	4500	28485
319	968	04.10.2020	18.10.2020	16.10.2021	500	2932.5
320	485	05.10.2020	19.10.2020	30.11.2020	1500	1575
321	752	05.10.2020	19.10.2020	25.11.2020	4000	3900
322	946	05.10.2020	19.10.2020	17.11.2020	500	427.5
323	342	06.10.2020	20.10.2020	13.11.2020	2000	1560
324	750	07.10.2020	21.10.2020	26.10.2020	2000	990
325	903	07.10.2020	21.10.2020	12.10.2021	5000	28800
326	598	08.10.2020	22.10.2020	14.10.2020	500	210
327	91	09.10.2020	23.10.2020	26.10.2021	1500	8910
328	438	09.10.2020	23.10.2020	23.10.2021	4000	23580
329	540	09.10.2020	23.10.2020	13.11.2021	3000	18630
330	623	09.10.2020	23.10.2020		3000	30375
331	910	09.10.2020	23.10.2020	03.11.2021	4000	24240
332	852	10.10.2020	24.10.2020	30.11.2021	1000	6450
333	855	10.10.2020	24.10.2020	05.11.2020	2000	1200
334	919	10.10.2020	24.10.2020	18.11.2021	5000	31350
335	952	10.10.2020	24.10.2020	05.11.2021	500	3037.5
336	185	11.10.2020	25.10.2020	08.11.2020	2000	1260
337	918	11.10.2020	25.10.2020	19.11.2021	4000	25080
338	984	11.10.2020	25.10.2020	14.10.2020	5000	2100
339	984	11.10.2020	25.10.2020	17.10.2020	1500	630
340	371	13.10.2020	27.10.2020	25.10.2021	2500	14662.5
341	397	14.10.2020	28.10.2020	25.10.2021	3000	17550
342	1033	14.10.2020	28.10.2020	27.10.2020	4000	1680
343	609	15.10.2020	29.10.2020	23.10.2021	1500	8707.5
344	700	15.10.2020	29.10.2020	27.10.2020	2000	840
345	863	15.10.2020	29.10.2020	01.11.2021	2000	11880
346	449	16.10.2020	30.10.2020	26.11.2021	1000	6300
347	695	16.10.2020	30.10.2020	05.11.2021	2000	11970
348	978	16.10.2020	30.10.2020	06.11.2020	1000	525
349	36	17.10.2020	31.10.2020	06.11.2021	3500	20947.5
350	150	17.10.2020	31.10.2020	21.10.2021	2000	11490
351	635	17.10.2020	31.10.2020	30.11.2020	3000	2610
352	658	17.10.2020	31.10.2020	20.10.2021	5000	28650
353	729	17.10.2020	31.10.2020	26.10.2021	3500	20370
354	1032	17.10.2020	31.10.2020	10.11.2020	1000	570
355	911	18.10.2020	01.11.2020	21.10.2021	2000	11460
356	1025	18.10.2020	01.11.2020	18.10.2020	3500	1470
357	1039	18.10.2020	01.11.2020	19.10.2021	2500	14250
358	125	19.10.2020	02.11.2020	17.11.2021	1000	6120
359	242	19.10.2020	02.11.2020	23.10.2020	500	210
360	464	19.10.2020	02.11.2020		500	4987.5
361	571	19.10.2020	02.11.2020	26.10.2020	5000	2100
362	139	20.10.2020	03.11.2020	02.11.2020	3000	1260
363	523	20.10.2020	03.11.2020	22.10.2020	1500	630
364	589	20.10.2020	03.11.2020	12.11.2020	2000	1110
365	730	20.10.2020	03.11.2020	12.11.2020	2000	1110
366	999	20.10.2020	03.11.2020	24.10.2020	4500	1890
367	1049	20.10.2020	03.11.2020	24.10.2021	2000	11490
368	271	21.10.2020	04.11.2020	25.11.2021	2500	15525
369	392	21.10.2020	04.11.2020	22.11.2020	1500	1035
370	904	21.10.2020	04.11.2020	26.10.2021	2000	11520
371	1044	21.10.2020	04.11.2020	26.11.2021	1000	6225
372	213	22.10.2020	05.11.2020	22.10.2020	3500	1470
373	908	22.10.2020	05.11.2020	29.10.2020	4500	1890
374	687	23.10.2020	06.11.2020	26.10.2020	1500	630
375	1029	23.10.2020	06.11.2020	09.11.2020	3000	1395
376	1037	23.10.2020	06.11.2020	02.11.2020	5000	2100
377	1043	23.10.2020	06.11.2020	26.11.2020	2500	1800
378	1072	23.10.2020	06.11.2020	12.11.2021	3500	20947.5
379	1075	23.10.2020	06.11.2020		1000	9915
380	913	24.10.2020	07.11.2020	01.11.2020	4000	1680
381	974	24.10.2020	07.11.2020		5000	49500
382	1057	24.10.2020	07.11.2020	15.11.2021	3000	18045
383	1080	24.10.2020	07.11.2020	24.10.2021	4500	25582.5
384	704	25.10.2020	08.11.2020		5000	49425
385	824	25.10.2020	08.11.2020	27.10.2021	4000	22860
386	1005	25.10.2020	08.11.2020	25.10.2020	3500	1470
387	1064	25.10.2020	08.11.2020	25.10.2020	500	210
388	785	26.10.2020	09.11.2020		1500	14805
389	1019	26.10.2020	09.11.2020	26.10.2020	4000	1680
390	1021	26.10.2020	09.11.2020	29.10.2020	2000	840
391	1063	26.10.2020	09.11.2020	28.10.2020	3500	1470
392	272	27.10.2020	10.11.2020	30.11.2021	3500	21682.5
393	594	27.10.2020	10.11.2020	29.11.2021	5000	30900
394	1036	27.10.2020	10.11.2020	28.11.2021	2500	15412.5
395	1081	27.10.2020	10.11.2020	11.11.2020	5000	2175
396	15	28.10.2020	11.11.2020	30.10.2021	2500	14287.5
397	96	28.10.2020	11.11.2020	28.10.2021	2000	11370
398	455	28.10.2020	11.11.2020	07.11.2021	4500	26257.5
399	623	28.10.2020	11.11.2020	30.10.2020	1500	630
400	721	28.10.2020	11.11.2020	09.11.2021	500	2932.5
401	1085	28.10.2020	11.11.2020	25.11.2020	2000	1260
402	516	29.10.2020	12.11.2020		2000	19650
403	717	29.10.2020	12.11.2020	30.10.2021	2000	11400
404	685	30.10.2020	13.11.2020	30.10.2020	5000	2100
405	836	30.10.2020	13.11.2020	30.10.2021	5000	28425
406	1069	30.10.2020	13.11.2020	30.10.2021	1500	8527.5
407	1098	30.10.2020	13.11.2020	01.11.2020	4000	1680
408	1098	30.10.2020	13.11.2020	30.10.2020	3500	1470
409	153	31.10.2020	14.11.2020	02.11.2020	3000	1260
410	919	31.10.2020	14.11.2020	31.10.2020	3500	1470
411	1101	31.10.2020	14.11.2020		5000	48975
412	997	01.11.2020	15.11.2020	02.11.2020	3000	1260
413	1036	01.11.2020	15.11.2020	16.11.2021	4500	26595
414	1049	01.11.2020	15.11.2020	11.11.2021	5000	29175
415	111	02.11.2020	16.11.2020	09.11.2021	1500	8685
416	167	02.11.2020	16.11.2020	18.11.2020	3500	1575
417	718	02.11.2020	16.11.2020	18.11.2020	4000	1800
418	1069	02.11.2020	16.11.2020	29.11.2021	2500	15225
419	1104	02.11.2020	16.11.2020	20.11.2020	500	240
420	708	03.11.2020	17.11.2020	07.11.2020	1000	420
421	918	03.11.2020	17.11.2020	14.11.2020	500	210
422	922	03.11.2020	17.11.2020	27.11.2021	1000	6045
423	1095	03.11.2020	17.11.2020	15.11.2020	5000	2100
424	445	04.11.2020	18.11.2020	25.11.2021	2000	12000
425	587	04.11.2020	18.11.2020		4500	43807.5
426	680	04.11.2020	18.11.2020	16.11.2021	2000	11730
427	701	04.11.2020	18.11.2020		3500	34072.5
428	1112	04.11.2020	18.11.2020	22.11.2020	1000	480
429	1116	04.11.2020	18.11.2020	11.11.2021	5000	28950
430	361	05.11.2020	19.11.2020	10.11.2021	5000	28800
431	536	05.11.2020	19.11.2020	28.11.2021	1000	6030
432	599	05.11.2020	19.11.2020	24.11.2020	2500	1237.5
433	931	05.11.2020	19.11.2020	24.11.2020	3000	1485
434	976	05.11.2020	19.11.2020	28.11.2020	500	277.5
435	1121	05.11.2020	19.11.2020	17.11.2020	3500	1470
436	498	06.11.2020	20.11.2020	08.11.2021	3500	20002.5
437	811	06.11.2020	20.11.2020	08.11.2020	3000	1260
438	1055	06.11.2020	20.11.2020	29.11.2020	4500	2497.5
439	1118	06.11.2020	20.11.2020	16.11.2020	3000	1260
440	242	07.11.2020	21.11.2020		1000	9690
441	919	07.11.2020	21.11.2020	24.11.2021	3500	20790
442	1068	07.11.2020	21.11.2020	26.11.2020	3000	1485
443	191	08.11.2020	22.11.2020	27.11.2020	500	247.5
444	351	08.11.2020	22.11.2020	22.11.2021	4000	23580
445	1054	08.11.2020	22.11.2020		3000	29025
446	121	09.11.2020	23.11.2020	12.11.2020	5000	2100
447	568	09.11.2020	23.11.2020	15.11.2021	1500	8662.5
448	866	09.11.2020	23.11.2020	28.11.2020	500	247.5
449	1005	09.11.2020	23.11.2020	22.11.2021	2000	11760
450	271	10.11.2020	24.11.2020		4000	38580
451	454	10.11.2020	24.11.2020	13.11.2020	3000	1260
452	594	10.11.2020	24.11.2020	14.11.2020	1500	630
453	647	10.11.2020	24.11.2020	10.11.2021	4000	22740
454	881	10.11.2020	24.11.2020	14.11.2020	4000	1680
